codigo_ocorrencia2,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,Dia,Mes,Ano,aeronave_matricula,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
52062,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,09/08/2012,9,8,2012,PTLHR,AVIÃO,LEARJET,55,LJ55,JATO,BIMOTOR,8845,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
46281,INCIDENTE GRAVE,MANAUS,AM,SWFN,10/08/2012,10,8,2012,PTWNM,AVIÃO,BEECH AIRCRAFT,58,BE58,PISTÃO,BIMOTOR,2449,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,NENHUM,0
46282,INCIDENTE GRAVE,COARI,AM,SWKO,12/08/2012,12,8,2012,PTEIR,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,SUBSTANCIAL,0
46298,INCIDENTE,CASCAVEL,PR,SBCA,12/08/2012,12,8,2012,PRATG,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,23000,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,LEVE,0
46347,INCIDENTE,JUNDIAÍ,SP,SBJD,12/08/2012,12,8,2012,PREJI,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,759,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,ARREMETIDA NO SOLO,NENHUM,0
46260,ACIDENTE,TARUMIRIM,MG,****,14/08/2012,14,8,2012,PTKCS,AVIÃO,CESSNA AIRCRAFT,172M,C172,PISTÃO,MONOMOTOR,1043,PARTICULAR,***,***,CRUZEIRO,SUBSTANCIAL,0
46297,INCIDENTE,CONFINS,MG,****,14/08/2012,14,8,2012,PRGOR,AVIÃO,BOEING COMPANY,737-76N,B737,JATO,BIMOTOR,61461,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
46279,INCIDENTE GRAVE,ITÁPOLIS,SP,SDIO,15/08/2012,15,8,2012,PREAJ,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,757,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,SUBSTANCIAL,0
46672,INCIDENTE,COARI,AM,SBUY,15/08/2012,15,8,2012,PRTTM,AVIÃO,AEROSPATIALE AND ALENIA,ATR-42-500,AT45,TURBOÉLICE,BIMOTOR,18600,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,NENHUM,0
52063,INCIDENTE,CABO FRIO,RJ,SBCB,15/08/2012,15,8,2012,PRBGM,HELICÓPTERO,SIKORSKY AIRCRAFT,S-92A,S92,TURBOEIXO,BIMOTOR,12020,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,NENHUM,0
46253,ACIDENTE,ATIBAIA,SP,SDTB,16/08/2012,16,8,2012,PRODM,AVIÃO,BEECH AIRCRAFT,58,BE58,PISTÃO,BIMOTOR,2449,PARTICULAR,ATIBAIA,ATIBAIA,POUSO,SUBSTANCIAL,0
46259,ACIDENTE,CAMPINAS,SP,SDAM,17/08/2012,17,8,2012,PTVEH,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,SUBSTANCIAL,0
46263,INCIDENTE GRAVE,RIO DE JANEIRO,RJ,SBJR,17/08/2012,17,8,2012,PTFTB,AVIÃO,CESSNA AIRCRAFT,560,C560,JATO,BIMOTOR,7212,TÁXI AÉREO,CONGONHAS,JACAREPAGUÁ,POUSO,NENHUM,0
46336,ACIDENTE,ATIBAIA,SP,****,17/08/2012,17,8,2012,PRSAO,AVIÃO,DIAMOND AIRCRAFT,DA20-C1,DV20,PISTÃO,MONOMOTOR,800,INSTRUÇÃO,CAMPO DE MARTE,CAMPO DE MARTE,ARREMETIDA NO SOLO,SUBSTANCIAL,0
46345,INCIDENTE,CAMPINAS,SP,SDAM,17/08/2012,17,8,2012,PPFLF,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,LEVE,0
46255,ACIDENTE,SANTA BÁRBARA D'OESTE,SP,****,18/08/2012,18,8,2012,PTNIR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711C,P28R,PISTÃO,MONOMOTOR,1202,PARTICULAR,AERODRÓMO ESTADUAL DE CAMPINAS / AMARAIS,ASSOCIAÇÃO RECREATIVA FAZENDA BONANZA,CRUZEIRO,DESTRUÍDA,2
46255,ACIDENTE,SANTA BÁRBARA D'OESTE,SP,****,18/08/2012,18,8,2012,PTNKA,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711C,P28R,PISTÃO,MONOMOTOR,1202,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,DESTRUÍDA,0
52064,INCIDENTE,RIO BRANCO,AC,SBRB,18/08/2012,18,8,2012,PTRUO,AVIÃO,EMBRAER,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
46258,ACIDENTE,ITAQUAQUECETUBA,SP,****,19/08/2012,19,8,2012,PTYPY,HELICÓPTERO,ROBINSON HELICOPTER,R44,R44,PISTÃO,MONOMOTOR,1088,PARTICULAR,CAMPO DE MARTE,CAMPO DE MARTE,CRUZEIRO,SUBSTANCIAL,0
46301,INCIDENTE,TERESINA,PI,SBTE,19/08/2012,19,8,2012,PRAZA,AVIÃO,EMBRAER,ERJ 190-100 IGW,E190,TURBOEIXO,BIMOTOR,51800,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
46346,INCIDENTE,SÃO PAULO,SP,****,19/08/2012,19,8,2012,PTMGS,AVIÃO,CESSNA AIRCRAFT,650,C650,JATO,BIMOTOR,10433,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,SUBSTANCIAL,0
46256,ACIDENTE,BELO HORIZONTE,MG,SBPR,20/08/2012,20,8,2012,PTHZE,HELICÓPTERO,HELIBRAS,HB-350B,AS50,TURBOEIXO,MONOMOTOR,1950,INSTRUÇÃO,CARLOS PRATES,CARLOS PRATES,APROXIMAÇÃO FINAL,SUBSTANCIAL,0
46264,INCIDENTE GRAVE,COROMANDEL,MG,****,20/08/2012,20,8,2012,PTWTO,AVIÃO,CESSNA AIRCRAFT,U206D,C206,PISTÃO,MONOMOTOR,1633,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
46302,INCIDENTE,CASCAVEL,PR,SBCA,20/08/2012,20,8,2012,PPPTP,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,22500,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
46344,INCIDENTE,BODOQUENA,MS,****,20/08/2012,20,8,2012,PRHRI,AVIÃO,CESSNA AIRCRAFT,206H,C206,PISTÃO,MONOMOTOR,1633,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,SUBSTANCIAL,0
46257,ACIDENTE,JURUÁ,AM,****,21/08/2012,21,8,2012,PTWEX,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,TÁXI AÉREO,TABATINGA,TEFÉ,CRUZEIRO,SUBSTANCIAL,0
46348,INCIDENTE,SÃO PAULO,SP,SBSP,21/08/2012,21,8,2012,N885WT,AVIÃO,GULFSTREAM AEROSPACE,GV-SP,***,JATO,BIMOTOR,0,***,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,LEVE,0
46435,ACIDENTE,PALMEIRA,PR,****,21/08/2012,21,8,2012,PPGGR,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,SUBSTANCIAL,1
46688,INCIDENTE,LONDRINA,PR,SBLO,21/08/2012,21,8,2012,PTWQQ,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,757,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,NENHUM,0
46846,ACIDENTE,RIO DE JANEIRO,RJ,****,21/08/2012,21,8,2012,PTFEM,AVIÃO,PIPER AIRCRAFT,PA-46R-350T,PA46,PISTÃO,MONOMOTOR,1969,PARTICULAR,JACAREPAGUÁ,CAMPO DE MARTE,DECOLAGEM,***,2
46436,ACIDENTE,ARAGUAÍNA,TO,****,22/08/2012,22,8,2012,PRHSD,AVIÃO,PIPER AIRCRAFT,PA-34-220T,PA34,PISTÃO,BIMOTOR,2155,PARTICULAR,ARAGUACEMA,FORA DE AERODROMO,DECOLAGEM,SUBSTANCIAL,0
46444,ACIDENTE,PAUINI,AM,SWUI,22/08/2012,22,8,2012,PTRPU,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720D,PA32,PISTÃO,MONOMOTOR,1633,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,SUBSTANCIAL,1
46349,INCIDENTE,GOIÂNIA,GO,SBGO,23/08/2012,23,8,2012,PTDIQ,AVIÃO,BEECH AIRCRAFT,B90,BE9L,TURBOÉLICE,BIMOTOR,4377,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,SUBSTANCIAL,0
46296,INCIDENTE,SÃO PAULO,SP,SBMT,25/08/2012,25,8,2012,PPEOE,HELICÓPTERO,EUROCOPTER FRANCE,AS 350 BA,AS50,TURBOEIXO,MONOMOTOR,2100,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,NENHUM,0
46437,ACIDENTE,ÁGUA CLARA,MS,****,25/08/2012,25,8,2012,PTOKZ,AVIÃO,CESSNA AIRCRAFT,210N,C210,PISTÃO,MONOMOTOR,1724,PARTICULAR,TRÊS LAGOAS,FAZENDA VISTA ALEGRE,CRUZEIRO,DESTRUÍDA,3
46350,INCIDENTE,BRASÍLIA,DF,SBBR,28/08/2012,28,8,2012,PRZMW,AVIÃO,WILLIAM DA SILVA MATIAS,RV-10,ZZZZ,PISTÃO,MONOMOTOR,1230,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
46451,INCIDENTE GRAVE,CAMPINAS,SP,SDAM,30/08/2012,30,8,2012,PRDGO,AVIÃO,PIPER AIRCRAFT,PA-31T,PAY2,TURBOÉLICE,BIMOTOR,4082,PARTICULAR,SANTOS DUMONT,AERODRÓMO ESTADUAL DE CAMPINAS / AMARAIS,POUSO,NENHUM,0
46310,ACIDENTE,ANGRA DOS REIS,RJ,****,31/08/2012,31,8,2012,PPLOS,HELICÓPTERO,AGUSTA,AW109SP,A109,TURBOEIXO,BIMOTOR,3175,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,OPERAÇÃO DE SOLO,NENHUM,0
46680,INCIDENTE,SANTARÉM,PA,SBSN,31/08/2012,31,8,2012,PTEHX,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-721C,P32R,PISTÃO,MONOMOTOR,1633,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
46686,INCIDENTE,CAMPINA GRANDE,PB,SNKB,01/09/2012,1,9,2012,PTCSY,AVIÃO,PIPER AIRCRAFT,PA-30,PA30,PISTÃO,BIMOTOR,1633,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,NENHUM,0
46312,INCIDENTE,CONFINS,MG,SBCF,02/09/2012,2,9,2012,PPPTM,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,22500,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,NENHUM,0
46342,INCIDENTE,UBATUBA,SP,****,03/09/2012,3,9,2012,PTDYK,AVIÃO,PIPER AIRCRAFT,PA-31,PA31,PISTÃO,BIMOTOR,2948,MÚLTIPLA,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,SUBSTANCIAL,0
52065,INCIDENTE,BELO HORIZONTE,MG,SBBH,03/09/2012,3,9,2012,PRNET,AVIÃO,CESSNA AIRCRAFT,172P,C172,PISTÃO,MONOMOTOR,1089,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
46311,INCIDENTE GRAVE,PORTO ALEGRE,RS,SSBN,05/09/2012,5,9,2012,PPGJK,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,SUBSTANCIAL,0
46520,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,06/09/2012,6,9,2012,PTFTB,AVIÃO,CESSNA AIRCRAFT,560,C560,JATO,BIMOTOR,7212,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,NENHUM,0
46684,INCIDENTE,SALVADOR,BA,SBSV,06/09/2012,6,9,2012,PUNHP,ULTRALEVE,LABORTEC ENGENHARIA LTDA,PARADISE P-1,ULAC,PISTÃO,MONOMOTOR,750,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
46308,ACIDENTE,MIRANDA,MS,****,07/09/2012,7,9,2012,PROSA,AVIÃO,CESSNA AIRCRAFT,T210N,C210,PISTÃO,MONOMOTOR,1814,PARTICULAR,SANTO ANTÔNIO DE LEVERGER,FORA DE AERODROMO,CRUZEIRO,SUBSTANCIAL,0
46418,ACIDENTE,GUIRATINGA,MT,****,07/09/2012,7,9,2012,PRWTW,AVIÃO,PIPER AIRCRAFT,PA-32R-301T,PA32,PISTÃO,MONOMOTOR,1633,PARTICULAR,RONDONÓPOLIS,FORA DE AERODROMO,POUSO,SUBSTANCIAL,0
52066,INCIDENTE,PRESIDENTE PRUDENTE,SP,SBDN,08/09/2012,8,9,2012,PTJCA,AVIÃO,CESSNA AIRCRAFT,182P,C182,PISTÃO,MONOMOTOR,1338,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
46306,INCIDENTE GRAVE,JUNDIAÍ,SP,SBJD,09/09/2012,9,9,2012,PREJI,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,759,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
46309,ACIDENTE,MACAPÁ,AP,****,09/09/2012,9,9,2012,PTWYK,AVIÃO,CESSNA AIRCRAFT,172R,C172,PISTÃO,MONOMOTOR,1111,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,DESTRUÍDA,1
50831,ACIDENTE,ACREÚNA,GO,****,09/09/2012,9,9,2012,PRGFD,AVIÃO,CESSNA AIRCRAFT,172N,C172,PISTÃO,MONOMOTOR,1043,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,DESTRUÍDA,4
46337,ACIDENTE,ALTO PARAÍSO DE GOIÁS,GO,SDXF,12/09/2012,12,9,2012,PPKBU,AVIÃO,XAVANTE,A-122-A,A122,PISTÃO,MONOMOTOR,840,INSTRUÇÃO,ALTO PARAÍSO DE GOIÁS,BRIGADEIRO ARARIPE MACEDO,DECOLAGEM,SUBSTANCIAL,0
46338,ACIDENTE,BALSAS,MA,****,12/09/2012,12,9,2012,PTRCA,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,PARTICULAR,FAZENDA RIBEIRÃO,FAZENDA SÃO GABRIEL,APROXIMAÇÃO FINAL,SUBSTANCIAL,0
46307,ACIDENTE,GUARULHOS,SP,SBGR,13/09/2012,13,9,2012,N173DZ,AVIÃO,BOEING COMPANY,767-322,***,JATO,BIMOTOR,158760,***,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,SUBSTANCIAL,0
46685,INCIDENTE,SALVADOR,BA,SBSV,14/09/2012,14,9,2012,PRINA,AVIÃO,CESSNA AIRCRAFT,150L,C150,PISTÃO,MONOMOTOR,726,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
52067,INCIDENTE,BOA VISTA,RR,SBBV,14/09/2012,14,9,2012,PTMEP,AVIÃO,CESSNA AIRCRAFT,208B,C208,TURBOÉLICE,MONOMOTOR,4110,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
46358,INCIDENTE,FORTALEZA,CE,SBFZ,15/09/2012,15,9,2012,PTREY,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
46371,INCIDENTE,ITUPEVA,SP,****,15/09/2012,15,9,2012,PROGE,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,757,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,LEVE,0
46340,INCIDENTE GRAVE,UBERLÂNDIA,MG,SBUL,16/09/2012,16,9,2012,PPGEV,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,SUBSTANCIAL,0
52068,INCIDENTE,JUNDIAÍ,SP,SBJD,16/09/2012,16,9,2012,PREZJ,AVIÃO,CESSNA AIRCRAFT,172S,C172,PISTÃO,MONOMOTOR,1157,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
46691,INCIDENTE,RIO GRANDE,RS,****,17/09/2012,17,9,2012,PRDBD,AVIÃO,HAWKER BEECHCRAFT,HAWKER 900XP,H25B,JATO,BIMOTOR,12701,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,LEVE,0
46341,INCIDENTE,BACABAL,MA,****,18/09/2012,18,9,2012,PTLJV,AVIÃO,CESSNA AIRCRAFT,T210L,C210,PISTÃO,MONOMOTOR,1814,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,NENHUM,0
46359,INCIDENTE,VITÓRIA,ES,SBVT,18/09/2012,18,9,2012,PRNAF,AVIÃO,PILATUS,PC-12/45,PC12,TURBOÉLICE,MONOMOTOR,4500,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
46362,INCIDENTE,BELO HORIZONTE,MG,SBBH,18/09/2012,18,9,2012,PTLSJ,AVIÃO,LEARJET,35A,LJ35,JATO,BIMOTOR,8165,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,LEVE,0
46519,INCIDENTE,PORTO ALEGRE,RS,SBPA,18/09/2012,18,9,2012,PRAYK,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,52290,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,NENHUM,0
46354,ACIDENTE,ITAMARAJU,BA,****,19/09/2012,19,9,2012,PRDKK,HELICÓPTERO,EUROCOPTER FRANCE,EC 130 B4,EC30,TURBOEIXO,MONOMOTOR,2427,PARTICULAR,BAHIA - JORGE AMADO,PRESIDENTE JUSCELINO KUBITSCHEK,CRUZEIRO,DESTRUÍDA,1
46652,INCIDENTE,VÁRZEA GRANDE,MT,SBCY,19/09/2012,19,9,2012,PRAYR,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,52290,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,LEVE,0
46689,INCIDENTE,LONDRINA,PR,SBLO,20/09/2012,20,9,2012,PTBKU,AVIÃO,CESSNA AIRCRAFT,150J,C150,PISTÃO,MONOMOTOR,726,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
46373,INCIDENTE GRAVE,PARAUAPEBAS,PA,****,21/09/2012,21,9,2012,PTVIB,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720D,PA32,PISTÃO,MONOMOTOR,1633,PARTICULAR,REDENÇÃO,ALBERTO ALCOLUMBRE,CRUZEIRO,LEVE,0
46655,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,21/09/2012,21,9,2012,N422LA,AVIÃO,BOEING COMPANY,767-346F,***,JATO,BIMOTOR,0,***,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,NENHUM,0
46356,ACIDENTE,TAPIRAMUTÁ,BA,****,22/09/2012,22,9,2012,PTANF,AVIÃO,CESSNA AIRCRAFT,170A,C170,PISTÃO,MONOMOTOR,998,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,SUBSTANCIAL,0
46377,INCIDENTE,RIO BRANCO,AC,SBRB,22/09/2012,22,9,2012,PTEEK,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,NENHUM,0
46378,INCIDENTE GRAVE,BARREIRAS,BA,SNDH,22/09/2012,22,9,2012,PRTKA,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,22500,REGULAR,FORA DE AERODROMO,BARREIRAS,POUSO,NENHUM,0
46379,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,22/09/2012,22,9,2012,PTMVT,AVIÃO,AIRBUS INDUSTRIE,A330-223,A332,JATO,BIMOTOR,233000,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,ESTACIONAMENTO,LEVE,0
46523,INCIDENTE,BELO HORIZONTE,MG,SBBH,22/09/2012,22,9,2012,PRCML,AVIÃO,PIPER AIRCRAFT,PA-32R-301T,PA32,PISTÃO,MONOMOTOR,1633,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,LEVE,0
46411,ACIDENTE,BELÉM,PA,SBBE,23/09/2012,23,9,2012,PRYRG,HELICÓPTERO,BELL HELICOPTER,430,B430,TURBOEIXO,BIMOTOR,4082,TÁXI AÉREO,PREFEITO RENATO MOREIRA,VAL DE CANS / JÚLIO CEZAR RIBEIRO,ESTACIONAMENTO,SUBSTANCIAL,0
46452,INCIDENTE,LONDRINA,PR,SBLO,23/09/2012,23,9,2012,PTVHV,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,P28A,PISTÃO,MONOMOTOR,1157,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
46477,INCIDENTE,CRUZEIRO DO SUL,AC,****,23/09/2012,23,9,2012,PRHBF,HELICÓPTERO,EUROCOPTER FRANCE,AS 355 N,AS55,TURBOEIXO,BIMOTOR,2600,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,NENHUM,0
46521,INCIDENTE,JUNDIAÍ,SP,SBJD,23/09/2012,23,9,2012,PREAJ,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,757,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
46368,ACIDENTE,SÃO PAULO,SP,****,24/09/2012,24,9,2012,PRJRG,HELICÓPTERO,ROBINSON HELICOPTER,R22 BETA,R22,PISTÃO,MONOMOTOR,621,INSTRUÇÃO,CAMPO DE MARTE,FORA DE AERODROMO,MANOBRA,SUBSTANCIAL,0
46412,ACIDENTE,ILHÉUS,BA,SBIL,24/09/2012,24,9,2012,PTRDG,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,PARTICULAR,BAHIA - JORGE AMADO,PRESIDENTE JUSCELINO KUBITSCHEK,SUBIDA,DESTRUÍDA,2
46413,ACIDENTE,UBERLÂNDIA,MG,SJPT,24/09/2012,24,9,2012,PROLX,AVIÃO,CESSNA AIRCRAFT,210M,C210,PISTÃO,MONOMOTOR,1724,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,SUBSTANCIAL,0
46417,ACIDENTE,LONDRINA,PR,SSOK,24/09/2012,24,9,2012,PRUNO,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,757,INSTRUÇÃO,14 BIS,FORA DE AERODROMO,MANOBRA,SUBSTANCIAL,0
46419,ACIDENTE,CANTÁ,RR,****,24/09/2012,24,9,2012,PTKSB,AVIÃO,CESSNA AIRCRAFT,210L,C210,PISTÃO,MONOMOTOR,1724,TÁXI AÉREO,JACAREPAGUÁ,CAMPO DE MARTE,DECOLAGEM,DESTRUÍDA,1
46450,INCIDENTE GRAVE,NOVO ARIPUANÃ,AM,****,24/09/2012,24,9,2012,PTREI,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-721D,P32R,PISTÃO,MONOMOTOR,1633,PARTICULAR,MANICORÉ,BORBA,POUSO,SUBSTANCIAL,0
46414,ACIDENTE,UBATUBA,SP,****,25/09/2012,25,9,2012,PRBIG,AVIÃO,CIRRUS DESIGN,SR22,SR22,PISTÃO,MONOMOTOR,1542,PARTICULAR,CAMPO DE MARTE,JACAREPAGUÁ,CRUZEIRO,SUBSTANCIAL,0
46415,ACIDENTE,FOZ DO IGUAÇU,PR,SSHS,25/09/2012,25,9,2012,PTHSN,HELICÓPTERO,BELL HELICOPTER,206B,B06,TURBOEIXO,MONOMOTOR,1451,MÚLTIPLA,HELISUL IV,HELISUL IV,DECOLAGEM,SUBSTANCIAL,0
46453,INCIDENTE,NAVEGANTES,SC,SBNF,25/09/2012,25,9,2012,PRWJM,AVIÃO,BOEING COMPANY,737-36Q,B733,JATO,BIMOTOR,63276,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,OPERAÇÃO DE SOLO,LEVE,0
46478,INCIDENTE,RIO DE JANEIRO,RJ,SBRJ,25/09/2012,25,9,2012,PRAZD,AVIÃO,EMBRAER,ERJ 190-100 IGW,E190,JATO,BIMOTOR,51800,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
46454,INCIDENTE,BOA VISTA,RR,SBBV,26/09/2012,26,9,2012,N5527L,AVIÃO,CESSNA AIRCRAFT,152,***,PISTÃO,MONOMOTOR,0,***,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,SUBSTANCIAL,0
46455,INCIDENTE,RIO DE JANEIRO,RJ,****,26/09/2012,26,9,2012,PRAYH,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,TURBOEIXO,BIMOTOR,52290,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,NENHUM,0
