codigo_ocorrencia2,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,Dia,Mes,Ano,aeronave_matricula,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
46434,ACIDENTE,JUQUIÁ,SP,****,03/10/2012,3,10,2012,PTDOX,AVIÃO,PIPER AIRCRAFT,PA-25-260,PA25,PISTÃO,MONOMOTOR,1315,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,VOO A BAIXA ALTURA,DESTRUÍDA,1
46439,INCIDENTE GRAVE,PORTO ALEGRE,RS,SSBN,03/10/2012,3,10,2012,PPGEH,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,SUBSTANCIAL,0
46443,INCIDENTE GRAVE,TEFÉ,AM,SBTF,03/10/2012,3,10,2012,PPITZ,AVIÃO,CESSNA AIRCRAFT,208B,C208,TURBOÉLICE,MONOMOTOR,3969,TÁXI AÉREO,COARI,TEFÉ,CRUZEIRO,SUBSTANCIAL,0
46518,INCIDENTE,PORTO ALEGRE,RS,SBPA,03/10/2012,3,10,2012,PRNHB,AVIÃO,LET AIRCRAFT INDUSTRIES,L410UVP-E20,L410,TURBOÉLICE,BIMOTOR,6600,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,LEVE,0
46695,INCIDENTE,VITÓRIA,ES,SBVT,03/10/2012,3,10,2012,PRWTR,AVIÃO,ISRAEL AIRCRAFT,GULFSTREAM 200,GALX,JATO,BIMOTOR,16080,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,ESTACIONAMENTO,NENHUM,0
46479,INCIDENTE,LONDRINA,PR,SBLO,04/10/2012,4,10,2012,PRAZD,AVIÃO,EMBRAER,ERJ 190-100 IGW,E190,JATO,BIMOTOR,51800,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
50693,ACIDENTE,GURINHATÃ,MG,****,04/10/2012,4,10,2012,PUJIV,ULTRALEVE,JOÃO ISMAEL VICENTINI,Excel Cargo,ULAC,PISTÃO,MONOMOTOR,750,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,LEVE,0
46474,INCIDENTE,GUARULHOS,SP,SBGR,05/10/2012,5,10,2012,PRAUL,AVIÃO,BEECH AIRCRAFT,58,BE58,PISTÃO,BIMOTOR,2449,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,NENHUM,0
46476,INCIDENTE,RIO DE JANEIRO,RJ,SBRJ,05/10/2012,5,10,2012,PRAVB,AVIÃO,AIRBUS INDUSTRIE,A319-115,A319,JATO,BIMOTOR,75500,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,ESTACIONAMENTO,LEVE,0
46480,INCIDENTE,GOIÂNIA,GO,SBGO,05/10/2012,5,10,2012,PTEUW,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
