codigo_ocorrencia1,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,Dia,Mes,Ano
40623,INCIDENTE,BELO HORIZONTE,MG,SBBH,30/04/2010,30,04,2010
40652,INCIDENTE GRAVE,CUIABÁ,MT,SJCY,30/04/2010,30,04,2010
40573,INCIDENTE GRAVE,ITAPETINGA,BA,****,01/05/2010,01,05,2010
40575,INCIDENTE,MANAUS,AM,SBEG,01/05/2010,01,05,2010
40774,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,01/05/2010,01,05,2010
40579,INCIDENTE,CURITIBA,PR,SBBI,04/05/2010,04,05,2010
40842,INCIDENTE,SÃO PAULO,SP,****,04/05/2010,04,05,2010
41629,INCIDENTE,SÃO JOSÉ DOS CAMPOS,SP,SBSJ,04/05/2010,04,05,2010
40621,INCIDENTE GRAVE,POÇOS DE CALDAS,MG,SBPC,05/05/2010,05,05,2010
40622,INCIDENTE,BELÉM,PA,****,05/05/2010,05,05,2010
40821,INCIDENTE,MANICORÉ,AM,****,05/05/2010,05,05,2010
40620,INCIDENTE GRAVE,GUARULHOS,SP,SBGR,06/05/2010,06,05,2010
40624,INCIDENTE,SÃO LUÍS,MA,SBSL,06/05/2010,06,05,2010
40825,INCIDENTE,BELO HORIZONTE,MG,SBBH,06/05/2010,06,05,2010
40791,INCIDENTE,MANAUS,AM,****,07/05/2010,07,05,2010
40793,ACIDENTE,PORTO NACIONAL,TO,SBPN,07/05/2010,07,05,2010
40837,INCIDENTE,CUIABÁ,MT,****,07/05/2010,07,05,2010
40732,INCIDENTE GRAVE,CAMAÇARI,BA,****,08/05/2010,08,05,2010
40835,INCIDENTE,UBERABA,MG,****,08/05/2010,08,05,2010
40843,ACIDENTE,LUCAS DO RIO VERDE,MT,****,08/05/2010,08,05,2010
40834,INCIDENTE,ILHÉUS,BA,****,10/05/2010,10,05,2010
40839,ACIDENTE,ITÁPOLIS,SP,****,10/05/2010,10,05,2010
41665,INCIDENTE,MARABÁ,PA,SBMA,11/05/2010,11,05,2010
41649,INCIDENTE,SÃO PAULO,SP,SBSP,12/05/2010,12,05,2010
40855,ACIDENTE,MANAUS,AM,****,13/05/2010,13,05,2010
41573,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,13/05/2010,13,05,2010
40853,INCIDENTE,MARÍLIA,SP,SBML,14/05/2010,14,05,2010
41574,INCIDENTE,JUIZ DE FORA,MG,****,14/05/2010,14,05,2010
40933,ACIDENTE,CÁCERES,MT,SWKC,15/05/2010,15,05,2010
41485,INCIDENTE,MANICORÉ,AM,****,15/05/2010,15,05,2010
41393,INCIDENTE,LONDRINA,PR,SBLO,17/05/2010,17,05,2010
41409,INCIDENTE,BAGÉ,RS,****,17/05/2010,17,05,2010
41054,INCIDENTE,MONTE ALEGRE,PA,****,18/05/2010,18,05,2010
41174,INCIDENTE,MACEIÓ,AL,SBMO,18/05/2010,18,05,2010
41053,ACIDENTE,CASCAVEL,PR,SBCA,19/05/2010,19,05,2010
41132,INCIDENTE,SÃO PAULO,SP,****,20/05/2010,20,05,2010
41155,ACIDENTE,JUNDIAÍ,SP,SBJD,20/05/2010,20,05,2010
41177,ACIDENTE,GOIÂNIA,GO,SBGO,20/05/2010,20,05,2010
41179,INCIDENTE GRAVE,BRASÍLIA,DF,SBBR,20/05/2010,20,05,2010
41178,INCIDENTE,CAMPINAS,SP,SDAM,21/05/2010,21,05,2010
41172,INCIDENTE,PARAUAPEBAS,PA,SBCJ,22/05/2010,22,05,2010
41235,INCIDENTE,BRASÍLIA,DF,SBBR,23/05/2010,23,05,2010
41224,INCIDENTE,GOIÂNIA,GO,****,26/05/2010,26,05,2010
41252,INCIDENTE,SÃO LUÍS,MA,SBSL,26/05/2010,26,05,2010
41374,ACIDENTE,CORRENTINA,BA,****,26/05/2010,26,05,2010
41274,ACIDENTE,BOCAINA,SP,****,27/05/2010,27,05,2010
41236,ACIDENTE,FELIZ DESERTO,AL,SNUZ,29/05/2010,29,05,2010
41272,INCIDENTE,FORTALEZA,CE,SBFZ,29/05/2010,29,05,2010
41375,INCIDENTE,BRASÍLIA,DF,SBBR,29/05/2010,29,05,2010
41376,INCIDENTE,PORTO SEGURO,BA,SBPS,29/05/2010,29,05,2010
41378,INCIDENTE,COARI,AM,****,02/06/2010,02,06,2010
41481,INCIDENTE,CONFINS,MG,SBCF,02/06/2010,02,06,2010
41484,INCIDENTE,BRASÍLIA,DF,SBBR,02/06/2010,02,06,2010
41482,ACIDENTE,TRÊS FORQUILHAS,RS,****,03/06/2010,03,06,2010
41661,INCIDENTE,CAMPINAS,SP,****,03/06/2010,03,06,2010
41392,INCIDENTE,LONDRINA,PR,SBLO,04/06/2010,04,06,2010
41394,INCIDENTE,GUARULHOS,SP,SBGR,04/06/2010,04,06,2010
41682,INCIDENTE,GUARULHOS,SP,SBGR,05/06/2010,05,06,2010
41487,INCIDENTE,JOINVILLE,SC,SBJV,07/06/2010,07,06,2010
41411,INCIDENTE GRAVE,SÃO PAULO,SP,SBMT,08/06/2010,08,06,2010
41480,INCIDENTE,SÃO JOSÉ DOS PINHAIS,PR,SBCT,08/06/2010,08,06,2010
41579,INCIDENTE,SANTA ROSA DO PURUS,AC,****,09/06/2010,09,06,2010
45940,ACIDENTE,ALTO ALEGRE,RR,****,09/06/2010,09,06,2010
41591,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,10/06/2010,10,06,2010
41592,INCIDENTE,FORTALEZA,CE,****,10/06/2010,10,06,2010
41676,INCIDENTE,BRASÍLIA,DF,****,10/06/2010,10,06,2010
42010,INCIDENTE,MACAÉ,RJ,****,10/06/2010,10,06,2010
41569,ACIDENTE,SÃO FÉLIX DO XINGU,PA,SNFX,12/06/2010,12,06,2010
41488,ACIDENTE,AQUIRAZ,CE,****,13/06/2010,13,06,2010
41553,INCIDENTE,CONFINS,MG,SBCF,13/06/2010,13,06,2010
41595,INCIDENTE,PETROLINA,PE,SBPL,13/06/2010,13,06,2010
41908,INCIDENTE,CAMPINAS,SP,SBKP,13/06/2010,13,06,2010
41552,ACIDENTE,NOVA MAMORÉ,RO,****,14/06/2010,14,06,2010
41551,INCIDENTE,MANAUS,AM,SBEG,15/06/2010,15,06,2010
41578,INCIDENTE GRAVE,NOVA XAVANTINA,MT,SWXV,15/06/2010,15,06,2010
41589,INCIDENTE,SÃO PAULO,SP,****,15/06/2010,15,06,2010
42013,INCIDENTE,MACAÉ,RJ,****,16/06/2010,16,06,2010
