codigo_reporte;nome_especie;especie_especie;tamanho_sugerido
5177;Não identificado;Não identificado;M
5179;Coruja-da-igreja/rasga-mortalha/suindara;(Tyto furcata);M
5181;Não identificado;Não identificado;M
5185;Urubus;Família Cathartidae;MG
5187;Quero-quero/tetéu;(Vanellus chilensis);M
5189;Quero-quero/tetéu;(Vanellus chilensis);M
5191;Quero-quero/tetéu;(Vanellus chilensis);M
5193;Quero-quero/tetéu;(Vanellus chilensis);M
5195;Urubus;Família Cathartidae;MG
5197;Quero-quero/tetéu;(Vanellus chilensis);M
5199;Carcará/carancho;(Caracara plancus);G
5199;Urubus;Família Cathartidae;MG
5201;Quero-quero/tetéu;(Vanellus chilensis);M
5203;Maria-faceira;(Syrigma sibilatrix);M
5205;Não identificado;Não identificado;M
5207;Não identificado;Não identificado;M
5209;Não identificado;Não identificado;M
5211;Não identificado;Não identificado;MP
5213;Não identificado;Não identificado;M
5215;Não identificado;Não identificado;M
5219;Urubus;Família Cathartidae;0
5221;Coruja -buraqueira;(Athene cunicularia);P
5223;Não identificado;Não identificado;M
5225;Coruja -buraqueira;(Athene cunicularia);P
5227;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);MG
5229;Corujas;Família Strigidae;
5231;Não identificado;Não identificado;M
5233;Não identificado;Não identificado;M
5235;Corucão/tabaco-bom;(Chordeiles nacunda);P
5237;Urubus;Família Cathartidae;MG
5239;Não identificado;Não identificado;M
5241;Urubus;Família Cathartidae;MG
5243;Corujas;Família Strigidae;
5245;Não identificado;Não identificado;MP
5247;Não identificado;Não identificado;MP
5249;Não identificado;Não identificado;M
5251;Não identificado;Não identificado;M
5253;Não identificado;Não identificado;M
5255;Não identificado;Não identificado;M
5257;Não identificado;Não identificado;M
5259;Quero-quero/tetéu;(Vanellus chilensis);M
5261;Não identificado;Não identificado;M
5263;Não identificado;Não identificado;P
5269;Não identificado;Não identificado;M
5271;Quero-quero/tetéu;(Vanellus chilensis);0
5275;Não identificado;Não identificado;M
5277;Não identificado;Não identificado;M
5279;Carcará/carancho;(Caracara plancus);G
5283;Carcará/carancho;(Caracara plancus);G
5283;Quero-quero/tetéu;(Vanellus chilensis);M
5285;Não identificado;Não identificado;M
5287;Não identificado;Não identificado;M
5289;Não identificado;Não identificado;G
5295;Não identificado;Não identificado;M
5297;Quero-quero/tetéu;(Vanellus chilensis);M
5299;Urubus;Família Cathartidae;MG
5301;Não identificado;Não identificado;P
5303;Não identificado;Não identificado;MP
5305;Urubus;Família Cathartidae;G
5307;Corujas;Família Strigidae;
5309;Não identificado;Não identificado;M
5311;Quero-quero/tetéu;(Vanellus chilensis);M
5313;Pombo-doméstico;(Columba livia);P
5315;Coruja-da-igreja/rasga-mortalha/suindara;(Tyto furcata);M
5317;Quero-quero/tetéu;(Vanellus chilensis);M
5319;Carcará/carancho;(Caracara plancus);G
5321;Andorinhas;família Hirundinidae;MP
5323;Quero-quero/tetéu;(Vanellus chilensis);M
5327;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;MG
5329;xx Outros (répteis > 1,5 kg);xx Outros (répteis > 1,5 kg);MG
5331;xx Outros (cachorro selvagem) > 1,5 kg;xx Outros (cachorro selvagem) > 1,5 kg;MG
5333;Não identificado;Não identificado;
5335;Urubus;Família Cathartidae;MG
5337;Não identificado;Não identificado;G
5339;Carcará/carancho;(Caracara plancus);G
5341;Urubus;Família Cathartidae;MG
5343;Urubus;Família Cathartidae;MG
5345;Urubus;Família Cathartidae;MG
5347;Não identificado;Não identificado;MP
5349;Carcará/carancho;(Caracara plancus);G
5349;Urubus;Família Cathartidae;MG
5351;Urubus;Família Cathartidae;MG
5353;Não identificado;Não identificado;
5355;Não identificado;Não identificado;M
