codigo_reporte;nome_especie;especie_especie;tamanho_sugerido
197;Quero-quero/tetéu;(Vanellus chilensis);M
198;Gaviões / Família accipitridae;Família accipitridae;
198;Quero-quero/tetéu;(Vanellus chilensis);M
199;Quero-quero/tetéu;(Vanellus chilensis);M
201;Urubus;Família Cathartidae;MG
205;Urubu-de-cabeça-preta/corvo/apitã;(Coragyps atratus);MG
209;Quero-quero/tetéu;(Vanellus chilensis);M
212;xx Outros (cachorro doméstico) > 1,5 kg;xx Outros (cachorro doméstico) > 1,5 kg;MG
213;Quero-quero/tetéu;(Vanellus chilensis);M
214;Carcará/carancho;(Caracara plancus);G
215;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;MG
217;Não identificado;Não identificado;P
218;Urubus;Família Cathartidae;MG
219;Urubus;Família Cathartidae;MG
220;Não identificado;Não identificado;P
221;Pombos / Rolinhas;Família Columbidae;
222;Urubus;Família Cathartidae;MG
224;Pombos / Rolinhas;Família Columbidae;
225;Não identificado;Não identificado;P
226;Não identificado;Não identificado;M
228;Quero-quero/tetéu;(Vanellus chilensis);M
231;Quero-quero/tetéu;(Vanellus chilensis);M
232;Carcará/carancho;(Caracara plancus);G
233;Carcará/carancho;(Caracara plancus);G
233;Quero-quero/tetéu;(Vanellus chilensis);M
234;Carcará/carancho;(Caracara plancus);G
235;Carcará/carancho;(Caracara plancus);G
236;Bem-te-vi;(Pitangus sulphuratus);P
237;Carcará/carancho;(Caracara plancus);G
238;Não identificado;Não identificado;
239;Bem- te-vis;Família Tyrannidae;P
240;Não identificado;Não identificado;M
241;Não identificado;Não identificado;
242;Urubus;Família Cathartidae;MG
243;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);G
244;Não identificado;Não identificado;M
245;xx Passeriformes pequenos;xx Passeriformes pequenos;MP
246;Não identificado;Não identificado;
247;Não identificado;Não identificado;M
248;Marreca-ananai/pé-vermelho;(Amazonetta brasiliensis);M
249;Carcará/carancho;(Caracara plancus);G
250;Quero-quero/tetéu;(Vanellus chilensis);M
251;Quero-quero/tetéu;(Vanellus chilensis);M
252;Não identificado;Não identificado;M
253;Pomba-de-bando/arribaçã/arribação;(Zenaida auriculata);P
255;Quero-quero/tetéu;(Vanellus chilensis);M
256;Não identificado;Não identificado;P
257;xx Outros (répteis > 1,5 kg);xx Outros (répteis > 1,5 kg);MG
259;Coruja-da-igreja/rasga-mortalha/suindara;(Tyto furcata);M
264;Não identificado;Não identificado;P
265;Não identificado;Não identificado;
266;Não identificado;Não identificado;
267;Não identificado;Não identificado;
268;Coruja -buraqueira;(Athene cunicularia);P
269;Não identificado;Não identificado;M
270;Carcará/carancho;(Caracara plancus);G
271;Não identificado;Não identificado;
273;Corucão/tabaco-bom;(Chordeiles nacunda);P
274;Bem- te-vis;Família Tyrannidae;MP
275;Não identificado;Não identificado;
276;Não identificado;Não identificado;
277;Carcará/carancho;(Caracara plancus);G
277;Curicacas/Tapicurus;Família Threskiornithidae;0
277;Quero-quero/tetéu;(Vanellus chilensis);M
277;Urubus;Família Cathartidae;MG
279;Não identificado;Não identificado;M
280;xx Outros (cachorro doméstico) > 1,5 kg;xx Outros (cachorro doméstico) > 1,5 kg;MG
281;Carcará/carancho;(Caracara plancus);G
282;Carcará/carancho;(Caracara plancus);G
283;Não identificado;Não identificado;M
284;Quero-quero/tetéu;(Vanellus chilensis);M
286;Quero-quero/tetéu;(Vanellus chilensis);M
287;Gaviões / Família accipitridae;Família accipitridae;
288;Não identificado;Não identificado;
289;Não identificado;Não identificado;
293;Não identificado;Não identificado;M
296;Quero-quero/tetéu;(Vanellus chilensis);M
298;Quero-quero/tetéu;(Vanellus chilensis);M
300;xx Outros (cachorro doméstico) > 1,5 kg;xx Outros (cachorro doméstico) > 1,5 kg;MG
303;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);MG
310;Quero-quero/tetéu;(Vanellus chilensis);M
312;Carcará/carancho;(Caracara plancus);G
315;Não identificado;Não identificado;
316;Não identificado;Não identificado;
318;Urubus;Família Cathartidae;MG
319;Quero-quero/tetéu;(Vanellus chilensis);M
320;Gaviões / Família accipitridae;Família accipitridae;
321;xx Outros (cachorro doméstico) > 1,5 kg;xx Outros (cachorro doméstico) > 1,5 kg;MG
322;Não identificado;Não identificado;
323;Quero-quero/tetéu;(Vanellus chilensis);M
324;Quero-quero/tetéu;(Vanellus chilensis);M
325;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);MG
327;Não identificado;Não identificado;
328;Não identificado;Não identificado;
329;Urubus;Família Cathartidae;MG
330;Não identificado;Não identificado;
331;Não identificado;Não identificado;
332;Carcará/carancho;(Caracara plancus);G
333;Urubus;Família Cathartidae;MG
334;Quero-quero/tetéu;(Vanellus chilensis);M
335;Quero-quero/tetéu;(Vanellus chilensis);M
336;Carcará/carancho;(Caracara plancus);G
337;Quero-quero/tetéu;(Vanellus chilensis);M
338;Quero-quero/tetéu;(Vanellus chilensis);M
339;Carcará/carancho;(Caracara plancus);G
339;Quero-quero/tetéu;(Vanellus chilensis);M
340;Pombos / Rolinhas;Família Columbidae;
341;Pombos / Rolinhas;Família Columbidae;
342;Pombo-doméstico;(Columba livia);P
343;Não identificado;Não identificado;
344;Pombos / Rolinhas;Família Columbidae;
345;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);MG
346;Urubu-de-cabeça-preta/corvo/apitã;(Coragyps atratus);MG
347;Urubus;Família Cathartidae;MG
348;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);MG
349;Urubus;Família Cathartidae;MG
350;Quero-quero/tetéu;(Vanellus chilensis);M
351;Não identificado;Não identificado;M
352;xx Outros (cachorro doméstico) > 1,5 kg;xx Outros (cachorro doméstico) > 1,5 kg;MG
353;Urubu-de-cabeça-preta/corvo/apitã;(Coragyps atratus);MG
355;Quero-quero/tetéu;(Vanellus chilensis);M
357;Urubus;Família Cathartidae;MG
358;Quero-quero/tetéu;(Vanellus chilensis);M
359;Não identificado;Não identificado;M
360;Urubus;Família Cathartidae;MG
361;xx Outros (cachorro selvagem) > 1,5 kg;xx Outros (cachorro selvagem) > 1,5 kg;MG
362;Não identificado;Não identificado;M
363;Quero-quero/tetéu;(Vanellus chilensis);M
364;Pombos / Rolinhas;Família Columbidae;
365;Pomba-de-bando/arribaçã/arribação;(Zenaida auriculata);P
366;Não identificado;Não identificado;M
367;Não identificado;Não identificado;
369;Urubus;Família Cathartidae;MG
371;Pombo-doméstico;(Columba livia);P
372;Urubus;Família Cathartidae;MG
373;Urubus;Família Cathartidae;MG
374;Urubus;Família Cathartidae;MG
375;Não identificado;Não identificado;P
376;Andorinhão-do-temporal;(Chaetura meridionalis);MP
377;Quero-quero/tetéu;(Vanellus chilensis);M
378;Urubus;Família Cathartidae;MG
379;Quero-quero/tetéu;(Vanellus chilensis);M
380;Urubus;Família Cathartidae;MG
381;Urubus;Família Cathartidae;MG
382;Pombos / Rolinhas;Família Columbidae;
383;Não identificado;Não identificado;
384;Urubus;Família Cathartidae;MG
385;Urubus;Família Cathartidae;MG
386;xx Outros (cachorro selvagem) > 1,5 kg;xx Outros (cachorro selvagem) > 1,5 kg;MG
387;Não identificado;Não identificado;
388;Quero-quero/tetéu;(Vanellus chilensis);M
389;Não identificado;Não identificado;G
391;Quero-quero/tetéu;(Vanellus chilensis);M
393;Garça-branca-pequena;(Egretta thula);M
394;Não identificado;Não identificado;M
396;Quero-quero/tetéu;(Vanellus chilensis);M
397;Urubus;Família Cathartidae;MG
398;Urubus;Família Cathartidae;MG
399;Codornas / Perdizes;Família Tinamidae;P
400;Bacurau/curiango-comum;(Hydropsalis albicollis);P
401;Pombo-doméstico;(Columba livia);P
402;Polícia-inglesa-do-sul/furacao-do-arroz/papa-arroz;(Sturnella superciliaris);MP
404;Gaviões / Família accipitridae;Família accipitridae;
405;Quero-quero/tetéu;(Vanellus chilensis);M
406;Não identificado;Não identificado;M
407;Não identificado;Não identificado;
408;Não identificado;Não identificado;M
409;Não identificado;Não identificado;M
410;xx Outros (morcegos);xx Outros (morcegos);P
411;Quero-quero/tetéu;(Vanellus chilensis);M
412;Urubu-de-cabeça-preta/corvo/apitã;(Coragyps atratus);MG
413;Não identificado;Não identificado;M
414;Coruja -buraqueira;(Athene cunicularia);P
415;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;MG
417;Quero-quero/tetéu;(Vanellus chilensis);M
418;Biguá/mergulhão/miuá/pata-da-água/corvo-marinho;(Phalacrocorax brasilianus);G
419;Urubus;Família Cathartidae;MG
421;Quero-quero/tetéu;(Vanellus chilensis);M
422;Urubus;Família Cathartidae;MG
423;Andorinha-pequena-de-casa;(Pygochelidon cyanoleuca);P
426;Quero-quero/tetéu;(Vanellus chilensis);M
427;Carcará/carancho;(Caracara plancus);G
428;Não identificado;Não identificado;M
430;Pombos / Rolinhas;Família Columbidae;
432;Não identificado;Não identificado;M
433;Não identificado;Não identificado;M
434;Não identificado;Não identificado;M
435;Não identificado;Não identificado;
436;Carcará/carancho;(Caracara plancus);G
439;Não identificado;Não identificado;M
440;Não identificado;Não identificado;
441;Carcará/carancho;(Caracara plancus);G
442;Quero-quero/tetéu;(Vanellus chilensis);M
443;Não identificado;Não identificado;M
444;Quero-quero/tetéu;(Vanellus chilensis);M
445;Não identificado;Não identificado;
446;Não identificado;Não identificado;
447;xx Outros (morcegos);xx Outros (morcegos);P
450;Não identificado;Não identificado;
451;Carcará/carancho;(Caracara plancus);G
453;Urubus;Família Cathartidae;MG
454;Quero-quero/tetéu;(Vanellus chilensis);M
456;Não identificado;Não identificado;
457;Andorinhas;família Hirundinidae;MP
458;Não identificado;Não identificado;
459;Não identificado;Não identificado;M
460;Não identificado;Não identificado;
461;Carcará/carancho;(Caracara plancus);G
462;Pombo-doméstico;(Columba livia);M
463;Não identificado;Não identificado;
464;Carcará/carancho;(Caracara plancus);G
465;Pombos / Rolinhas;Família Columbidae;
466;Pombos / Rolinhas;Família Columbidae;
467;Pombos / Rolinhas;Família Columbidae;
468;Carcará/carancho;(Caracara plancus);G
469;Não identificado;Não identificado;M
470;Urubus;Família Cathartidae;MG
471;Carcará/carancho;(Caracara plancus);G
472;Urubu-de-cabeça-preta/corvo/apitã;(Coragyps atratus);MG
474;Anu-branco;(Guira guira);P
476;Quero-quero/tetéu;(Vanellus chilensis);M
477;Urubus;Família Cathartidae;MG
480;Urubus;Família Cathartidae;MG
481;Urubus;Família Cathartidae;MG
483;Coruja -buraqueira;(Athene cunicularia);P
484;Carcará/carancho;(Caracara plancus);G
485;Carcará/carancho;(Caracara plancus);G
486;Carcará/carancho;(Caracara plancus);G
487;Quero-quero/tetéu;(Vanellus chilensis);M
489;Coruja-da-igreja/rasga-mortalha/suindara;(Tyto furcata);M
490;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);MG
491;Carcará/carancho;(Caracara plancus);G
492;Não identificado;Não identificado;MG
493;Carcará/carancho;(Caracara plancus);G
494;Não identificado;Não identificado;P
495;Carcará/carancho;(Caracara plancus);G
495;Quero-quero/tetéu;(Vanellus chilensis);M
497;Carcará/carancho;(Caracara plancus);G
497;Garças;Família Ardeidae;
498;Carcará/carancho;(Caracara plancus);G
498;Urubus;Família Cathartidae;MG
499;Carcará/carancho;(Caracara plancus);G
500;Carcará/carancho;(Caracara plancus);G
501;Carcará/carancho;(Caracara plancus);G
502;Carcará/carancho;(Caracara plancus);G
503;Carcará/carancho;(Caracara plancus);G
503;Garças;Família Ardeidae;
503;Urubus;Família Cathartidae;MG
504;Urubus;Família Cathartidae;MG
505;Não identificado;Não identificado;M
506;Urubus;Família Cathartidae;MG
507;Urubus;Família Cathartidae;MG
508;Quero-quero/tetéu;(Vanellus chilensis);M
509;xx Outros (répteis > 1,5 kg);xx Outros (répteis > 1,5 kg);MG
510;Urubus;Família Cathartidae;MG
511;Quero-quero/tetéu;(Vanellus chilensis);M
512;xx Outros (répteis > 1,5 kg);xx Outros (répteis > 1,5 kg);MG
513;Bem- te-vis;Família Tyrannidae;P
514;Não identificado;Não identificado;M
515;Urubus;Família Cathartidae;MG
516;xx Outros (cachorro selvagem) > 1,5 kg;xx Outros (cachorro selvagem) > 1,5 kg;MG
517;Não identificado;Não identificado;M
518;Carcará/carancho;(Caracara plancus);G
518;Pombo-doméstico;(Columba livia);P
519;Quero-quero/tetéu;(Vanellus chilensis);M
520;Urubus;Família Cathartidae;MG
521;Urubus;Família Cathartidae;MG
523;Não identificado;Não identificado;G
524;Não identificado;Não identificado;
525;Bem-te-vi;(Pitangus sulphuratus);P
527;Não identificado;Não identificado;M
528;Quero-quero/tetéu;(Vanellus chilensis);M
529;Carcará/carancho;(Caracara plancus);G
530;Não identificado;Não identificado;M
531;Carcará/carancho;(Caracara plancus);G
532;xx Passeriformes pequenos;xx Passeriformes pequenos;MP
533;Quero-quero/tetéu;(Vanellus chilensis);M
534;Urubus;Família Cathartidae;MG
536;Urubus;Família Cathartidae;MG
537;Urubus;Família Cathartidae;MG
538;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;MG
539;Urubus;Família Cathartidae;MG
540;Quero-quero/tetéu;(Vanellus chilensis);M
541;Corucão/tabaco-bom;(Chordeiles nacunda);P
542;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);MG
543;Anu-branco;(Guira guira);P
544;Falcão-quiriquiri;(Falco sparverius);P
545;Carcará/carancho;(Caracara plancus);G
546;Quero-quero/tetéu;(Vanellus chilensis);M
547;Quero-quero/tetéu;(Vanellus chilensis);M
548;Urubus;Família Cathartidae;MG
549;Não identificado;Não identificado;
550;Urubus;Família Cathartidae;MG
551;Urubus;Família Cathartidae;MG
552;Urubus;Família Cathartidae;MG
555;Polícia-inglesa-do-sul/furacao-do-arroz/papa-arroz;(Sturnella superciliaris);MP
556;Urubus;Família Cathartidae;MG
557;Urubus;Família Cathartidae;MG
558;Urubus;Família Cathartidae;MG
559;Não identificado;Não identificado;P
560;Urubus;Família Cathartidae;MG
562;Urubus;Família Cathartidae;MG
563;Quero-quero/tetéu;(Vanellus chilensis);M
564;Urubus;Família Cathartidae;MG
565;Quero-quero/tetéu;(Vanellus chilensis);M
566;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);MG
567;Carcará/carancho;(Caracara plancus);G
568;Quero-quero/tetéu;(Vanellus chilensis);M
569;Não identificado;Não identificado;MP
570;Urubus;Família Cathartidae;MG
571;Não identificado;Não identificado;M
572;Urubus;Família Cathartidae;MG
573;Não identificado;Não identificado;M
574;Urubus;Família Cathartidae;MG
576;Não identificado;Não identificado;
577;Carcará/carancho;(Caracara plancus);G
578;xx Outros (cachorro selvagem) > 1,5 kg;xx Outros (cachorro selvagem) > 1,5 kg;MG
579;Não identificado;Não identificado;
580;Quero-quero/tetéu;(Vanellus chilensis);M
581;Marrecas / patos;Família Anatidae;G
582;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;MG
583;Quero-quero/tetéu;(Vanellus chilensis);M
584;Carcará/carancho;(Caracara plancus);G
584;Urubus;Família Cathartidae;MG
585;Urubus;Família Cathartidae;MG
587;Quero-quero/tetéu;(Vanellus chilensis);M
588;Urubus;Família Cathartidae;MG
589;Urubus;Família Cathartidae;MG
591;xx Outros (morcegos);xx Outros (morcegos);
592;Não identificado;Não identificado;
593;Coruja -buraqueira;(Athene cunicularia);P
594;Gaivotas;Família  Laridae;
595;Não identificado;Não identificado;M
596;Coruja -buraqueira;(Athene cunicularia);P
597;Não identificado;Não identificado;P
598;Carcará/carancho;(Caracara plancus);G
598;Urubus;Família Cathartidae;MG
599;Urubus;Família Cathartidae;MG
600;Urubus;Família Cathartidae;MG
602;Carcará/carancho;(Caracara plancus);G
603;Pomba-de-bando/arribaçã/arribação;(Zenaida auriculata);P
604;Carcará/carancho;(Caracara plancus);G
605;Carcará/carancho;(Caracara plancus);G
606;Pombos / Rolinhas;Família Columbidae;
607;xx Outros (cachorro doméstico) > 1,5 kg;xx Outros (cachorro doméstico) > 1,5 kg;MG
610;Carcará/carancho;(Caracara plancus);G
612;Não identificado;Não identificado;
613;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);MG
617;Urubus;Família Cathartidae;MG
620;Não identificado;Não identificado;M
621;Não identificado;Não identificado;
625;Não identificado;Não identificado;
626;Não identificado;Não identificado;
627;Não identificado;Não identificado;
628;Urubus;Família Cathartidae;MG
629;Não identificado;Não identificado;
630;Não identificado;Não identificado;
631;Não identificado;Não identificado;
632;Não identificado;Não identificado;M
633;Falcão-quiriquiri;(Falco sparverius);P
634;Quero-quero/tetéu;(Vanellus chilensis);M
635;Não identificado;Não identificado;
637;Não identificado;Não identificado;
638;Corujas;Família Strigidae;
639;Carcará/carancho;(Caracara plancus);G
641;Urubus;Família Cathartidae;MG
642;Urubus;Família Cathartidae;MG
643;Urubus;Família Cathartidae;MG
644;Carcará/carancho;(Caracara plancus);G
646;Não identificado;Não identificado;
647;Quero-quero/tetéu;(Vanellus chilensis);M
649;Não identificado;Não identificado;P
650;Quero-quero/tetéu;(Vanellus chilensis);M
651;xx Outros (répteis > 1,5 kg);xx Outros (répteis > 1,5 kg);MG
652;Carcará/carancho;(Caracara plancus);G
653;Urubu-de-cabeça-preta/corvo/apitã;(Coragyps atratus);MG
654;Maçaricos;Família  Scolopacidae;
655;Não identificado;Não identificado;M
656;Urubus;Família Cathartidae;MG
657;Urubus;Família Cathartidae;MG
658;Não identificado;Não identificado;
659;Não identificado;Não identificado;
660;Urubus;Família Cathartidae;MG
661;Carcará/carancho;(Caracara plancus);G
661;Urubus;Família Cathartidae;MG
662;Pombo-doméstico;(Columba livia);P
662;Quero-quero/tetéu;(Vanellus chilensis);M
663;Urubus;Família Cathartidae;MG
664;Carcará/carancho;(Caracara plancus);G
665;Carcará/carancho;(Caracara plancus);G
666;Não identificado;Não identificado;M
667;Quero-quero/tetéu;(Vanellus chilensis);M
668;Pomba-de-bando/arribaçã/arribação;(Zenaida auriculata);P
669;Quero-quero/tetéu;(Vanellus chilensis);M
670;Carcará/carancho;(Caracara plancus);G
672;Narceja;(Gallinago paraguaiae);P
673;Corujas;Família Strigidae;P
674;Gavião-carijó;( Rupornis magnirostris);M
675;Não identificado;Não identificado;P
676;Não identificado;Não identificado;
677;Andorinhas;família Hirundinidae;MP
678;Não identificado;Não identificado;
679;Não identificado;Não identificado;
680;Não identificado;Não identificado;
684;Urubus;Família Cathartidae;MG
685;Gaviões / Família accipitridae;Família accipitridae;
685;Urubus;Família Cathartidae;MG
686;Urubus;Família Cathartidae;MG
687;Pombos / Rolinhas;Família Columbidae;P
688;Carcará/carancho;(Caracara plancus);G
690;Não identificado;Não identificado;
691;Não identificado;Não identificado;M
692;Não identificado;Não identificado;M
693;Quero-quero/tetéu;(Vanellus chilensis);M
694;Urubus;Família Cathartidae;MG
695;Fragata/tesourão (Fregata;(Fregata magnificens);G
696;Urubus;Família Cathartidae;MG
697;Não identificado;Não identificado;MG
698;Não identificado;Não identificado;M
699;Não identificado;Não identificado;
701;Urubus;Família Cathartidae;MG
702;Não identificado;Não identificado;
703;Não identificado;Não identificado;M
704;Garças;Família Ardeidae;M
705;Carcará/carancho;(Caracara plancus);G
706;Falcão-de-coleira/gavião-pombo/cauré;(Falco femoralis);M
707;Urubus;Família Cathartidae;MG
708;Não identificado;Não identificado;M
709;Quero-quero/tetéu;(Vanellus chilensis);M
710;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;MG
711;Carcará/carancho;(Caracara plancus);G
712;Andorinhas;família Hirundinidae;MP
713;Urubus;Família Cathartidae;MG
714;Carcará/carancho;(Caracara plancus);G
714;Urubus;Família Cathartidae;MG
716;Andorinha-morena;(Alopochelidon fucata);MP
717;Gavião-caboclo/fumaça/tinga;(Heterospizias meridionalis);G
718;Corucão/tabaco-bom;(Chordeiles nacunda);P
719;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);MG
720;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;MG
721;Quero-quero/tetéu;(Vanellus chilensis);M
723;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;MG
724;Quero-quero/tetéu;(Vanellus chilensis);M
725;Não identificado;Não identificado;
726;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;MG
727;Gaivotas;Família  Laridae;G
728;Não identificado;Não identificado;M
729;Não identificado;Não identificado;P
732;Urubus;Família Cathartidae;MG
733;Não identificado;Não identificado;M
734;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);MG
735;Não identificado;Não identificado;M
737;Não identificado;Não identificado;
738;Pombos / Rolinhas;Família Columbidae;
739;Não identificado;Não identificado;M
740;Não identificado;Não identificado;
741;Pombos / Rolinhas;Família Columbidae;
742;Quero-quero/tetéu;(Vanellus chilensis);M
743;Carcará/carancho;(Caracara plancus);G
744;Não identificado;Não identificado;P
745;Urubu-de-cabeça-preta/corvo/apitã;(Coragyps atratus);MG
746;Gaviões / Família accipitridae;Família accipitridae;
747;Não identificado;Não identificado;
748;Quero-quero/tetéu;(Vanellus chilensis);M
750;xx Outros (cachorro selvagem) > 1,5 kg;xx Outros (cachorro selvagem) > 1,5 kg;MG
752;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);MG
753;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;MG
754;Carcará/carancho;(Caracara plancus);G
755;Pombos / Rolinhas;Família Columbidae;
756;Carcará/carancho;(Caracara plancus);G
757;xx Outros (cachorro selvagem) > 1,5 kg;xx Outros (cachorro selvagem) > 1,5 kg;MG
758;Carcará/carancho;(Caracara plancus);G
759;Não identificado;Não identificado;P
760;Não identificado;Não identificado;M
761;Urubus;Família Cathartidae;MG
762;Urubus;Família Cathartidae;MG
763;Urubus;Família Cathartidae;MG
764;Urubus;Família Cathartidae;MG
765;Urubus;Família Cathartidae;MG
766;xx Outros (Ema - Rhea americana);xx Outros (Ema - Rhea americana);MG
767;Não identificado;Não identificado;
768;Quero-quero/tetéu;(Vanellus chilensis);M
769;Urubus;Família Cathartidae;MG
770;Não identificado;Não identificado;
771;Urubus;Família Cathartidae;MG
772;Não identificado;Não identificado;
773;Urubus;Família Cathartidae;MG
774;Não identificado;Não identificado;
775;Urubus;Família Cathartidae;MG
777;Urubus;Família Cathartidae;MG
778;Urubus;Família Cathartidae;MG
780;Não identificado;Não identificado;MG
781;Carcará/carancho;(Caracara plancus);G
782;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);MG
784;Urubus;Família Cathartidae;MG
785;Urubus;Família Cathartidae;MG
786;Urubus;Família Cathartidae;MG
788;Urubus;Família Cathartidae;MG
789;Urubus;Família Cathartidae;MG
792;Urubus;Família Cathartidae;MG
793;Urubus;Família Cathartidae;MG
795;Urubus;Família Cathartidae;MG
796;Urubus;Família Cathartidae;MG
797;Urubus;Família Cathartidae;MG
798;Pombos / Rolinhas;Família Columbidae;
799;Pombos / Rolinhas;Família Columbidae;
800;Pombos / Rolinhas;Família Columbidae;P
801;Gaivotas;Família  Laridae;
801;Urubus;Família Cathartidae;MG
802;Urubus;Família Cathartidae;MG
804;Urubus;Família Cathartidae;MG
805;Urubus;Família Cathartidae;MG
806;Não identificado;Não identificado;M
808;Não identificado;Não identificado;
809;Urubus;Família Cathartidae;MG
811;Não identificado;Não identificado;
812;Não identificado;Não identificado;
814;Não identificado;Não identificado;
815;Não identificado;Não identificado;
816;Não identificado;Não identificado;
818;Não identificado;Não identificado;M
819;Carcará/carancho;(Caracara plancus);G
820;Pombos / Rolinhas;Família Columbidae;
821;Pombos / Rolinhas;Família Columbidae;
822;Urubus;Família Cathartidae;MG
823;Não identificado;Não identificado;M
824;Urubus;Família Cathartidae;MG
825;Não identificado;Não identificado;MG
827;Urubus;Família Cathartidae;MG
828;Urubus;Família Cathartidae;MG
829;Urubus;Família Cathartidae;MG
830;Urubus;Família Cathartidae;MG
831;Urubus;Família Cathartidae;MG
832;Coruja-da-igreja/rasga-mortalha/suindara;(Tyto furcata);M
833;Urubus;Família Cathartidae;MG
834;Quero-quero/tetéu;(Vanellus chilensis);M
835;xx Outros (répteis > 1,5 kg);xx Outros (répteis > 1,5 kg);MG
836;Quero-quero/tetéu;(Vanellus chilensis);M
837;Quero-quero/tetéu;(Vanellus chilensis);M
838;xx Passeriformes pequenos;xx Passeriformes pequenos;MP
839;Carcará/carancho;(Caracara plancus);G
840;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);MG
841;Não identificado;Não identificado;
842;Quero-quero/tetéu;(Vanellus chilensis);M
843;Garça-vaqueira/cunacoi/boiadeira;(Bubulcus ibis);M
844;Carcará/carancho;(Caracara plancus);G
844;Quero-quero/tetéu;(Vanellus chilensis);M
845;Urubus;Família Cathartidae;MG
846;Quero-quero/tetéu;(Vanellus chilensis);M
848;Urubus;Família Cathartidae;MG
849;Não identificado;Não identificado;
850;Carcará/carancho;(Caracara plancus);G
851;Urubu-de-cabeça-preta/corvo/apitã;(Coragyps atratus);MG
853;Urubus;Família Cathartidae;MG
854;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);MG
855;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;MG
856;Bacuraus/Curiangos;Familia Caprimulgidae;P
857;xx Outros (cachorro doméstico) > 1,5 kg;xx Outros (cachorro doméstico) > 1,5 kg;MG
858;Carcará/carancho;(Caracara plancus);G
858;Urubus;Família Cathartidae;MG
859;Pombos / Rolinhas;Família Columbidae;
860;Urubus;Família Cathartidae;MG
861;Carcará/carancho;(Caracara plancus);G
862;Quero-quero/tetéu;(Vanellus chilensis);M
863;Carcará/carancho;(Caracara plancus);G
864;Não identificado;Não identificado;
865;Não identificado;Não identificado;P
866;Urubus;Família Cathartidae;MG
867;Urubus;Família Cathartidae;MG
869;Urubus;Família Cathartidae;MG
870;Urubus;Família Cathartidae;MG
871;Não identificado;Não identificado;M
872;Carcará/carancho;(Caracara plancus);G
873;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;MG
874;Não identificado;Não identificado;
875;Carcará/carancho;(Caracara plancus);G
875;Quero-quero/tetéu;(Vanellus chilensis);M
876;Coruja-da-igreja/rasga-mortalha/suindara;(Tyto furcata);M
877;Quero-quero/tetéu;(Vanellus chilensis);M
879;xx Outros (morcegos);xx Outros (morcegos);
880;Urubus;Família Cathartidae;MG
881;Não identificado;Não identificado;P
882;Coruja-da-igreja/rasga-mortalha/suindara;(Tyto furcata);M
883;Quero-quero/tetéu;(Vanellus chilensis);M
884;Carcará/carancho;(Caracara plancus);G
886;Carcará/carancho;(Caracara plancus);G
887;xx Outros (cachorro selvagem) > 1,5 kg;xx Outros (cachorro selvagem) > 1,5 kg;MG
888;xx Outros (répteis > 1,5 kg);xx Outros (répteis > 1,5 kg);MG
889;Quero-quero/tetéu;(Vanellus chilensis);M
890;Não identificado;Não identificado;M
891;Urubus;Família Cathartidae;MG
